Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,C. Fiermarín,Defensa y Justicia,Defensa y Justicia,GK,GK,0,26,1500000,2027-12-31,10,982,Uruguay,Uruguay,right,189,72,no,0.09,63.83,-0.333,1.1,1.37,-0.2682926829268293,2.762820512820512,ARG1,Testing,2024,0.1693943539869734,0.1822463785617442,0.1743486973947896
1,A. Aguerre,Lanús,Lanús,GK,GK,0,34,200000,2024-12-31,10,993,Argentina,Argentina,right,184,76,no,0.63,68.18,0.067,1.0,1.99,0.05223880597014929,3.141732283464567,ARG1,Testing,2024,0.5930239552510259,0.5358413616262707,0.5631262525050099
2,L. Brey,Boca Juniors,Boca Juniors,GK,GK,0,22,0,,11,1022,Argentina,Argentina,right,191,89,no,0.09,80.95,0.307,0.79,1.5,0.306930693069307,5.285714285714286,ARG1,Testing,2024,0.5720730985940022,0.5389983969909308,0.5551102204408818
3,L. Hoyos,Newell's Old Boys,Newell's Old Boys,GK,GK,0,35,325000,2025-12-31,11,1072,Argentina,Argentina,right,182,75,no,0.5056889999999999,72.97,-0.105,1.6,1.09,-0.1506849315068493,3.702380952380953,ARG1,Testing,2024,0.549170392184286,0.5021327643793,0.5250501002004008
4,R. Macagno,Newell's Old Boys,Newell's Old Boys,GK,GK,0,27,2300000,2026-12-31,14,1293,Argentina,Argentina,right,185,77,no,0.140007,61.02,-0.466,1.04,1.32,-0.4159292035398232,2.56875,ARG1,Testing,2024,0.1196348447964028,0.1306331713162089,0.1232464929859719
5,J. Espínola,Belgrano,Belgrano,GK,GK,0,30,0,,15,1442,Paraguay,Paraguay,right,185,89,yes,0.9375,76.19,0.031,3.56,1.87,0.03092783505154639,4.180851063829787,ARG1,Testing,2024,0.8993217038991694,0.87712645512559,0.8877755511022043
6,E. Bologna,Defensa y Justicia,Defensa y Justicia,GK,GK,0,42,25000,2024-12-31,16,1570,Argentina,"Argentina, Italy",right,188,89,no,0.11,72.41,0.122,0.97,1.43,0.1153846153846154,3.608695652173913,ARG1,Testing,2024,0.4178444791880807,0.3681979106128221,0.3917835671342685
7,S. Romero,Boca Juniors,Boca Juniors,GK,GK,0,37,400000,2025-12-31,16,1593,Argentina,"Argentina, Italy",right,192,88,no,0.06,75.41,0.184,1.07,1.3,0.1747572815533981,4.058823529411765,ARG1,Testing,2024,0.4708678092722661,0.4211405064011385,0.4448897795591182
8,G. Gómez,San Lorenzo,San Lorenzo,GK,GK,0,28,1000000,2025-12-31,16,1611,Argentina,Argentina,right,190,88,yes,0.22,74.0,0.08,1.06,1.23,0.09876543209876554,3.821917808219178,ARG1,Testing,2024,0.4439313060736791,0.4074272741123423,0.4248496993987975
9,M. Ledesma,Gimnasia La Plata,Gimnasia La Plata,GK,GK,0,28,700000,2024-12-31,17,1692,Argentina,Argentina,right,191,81,yes,0.5866880000000001,80.0,0.204,2.39,1.7,0.2837837837837838,5.018867924528302,ARG1,Testing,2024,0.8386788496430495,0.8208467299337313,0.8296593186372744
10,G. Arias,Racing Club,Racing Club,GK,GK,0,37,800000,,20,1925,Argentina,"Argentina, Chile",right,189,85,no,0.09,70.0,-0.105,0.75,1.36,-0.1351351351351351,3.345238095238095,ARG1,Testing,2024,0.285075497639056,0.2825827903216319,0.282565130260521
11,N. Losada,Lanús,Lanús,GK,GK,0,31,3000000,2027-12-31,21,2052,Argentina,Argentina,right,188,79,no,0.176,77.88,0.145,1.71,2.37,0.1217391304347826,4.514851485148514,ARG1,Testing,2024,0.5908364231079122,0.5498611624506565,0.5691382765531061
12,F. Armani,River Plate,River Plate,GK,GK,0,38,1000000,2026-12-31,21,2073,Argentina,Argentina,right,189,88,no,0.26,75.41,0.096,0.78,0.82,0.1333333333333333,4.076923076923077,ARG1,Testing,2024,0.479245814451178,0.4169699927576741,0.4468937875751502
13,L. Acosta,Sarmiento,Sarmiento,GK,GK,0,29,750000,2025-12-31,22,2151,Argentina,Argentina,right,187,82,yes,0.208325,77.0,0.173,0.92,0.79,0.1578947368421052,4.354166666666667,ARG1,Testing,2024,0.4921083103002273,0.4306602047556259,0.4599198396793587
14,E. Centurión,Independiente Rivadavia,Independiente Rivadavia,GK,GK,0,27,500000,2026-12-31,22,2180,Argentina,Argentina,right,184,79,yes,0.29,70.93,-0.082,1.49,1.07,-0.08421052631578951,3.446601941747573,ARG1,Testing,2024,0.4240094414236569,0.3890831900966591,0.4058116232464929
15,F. Zenobio,Tigre,Tigre,GK,GK,0,24,400000,2026-12-31,24,2273,Argentina,Argentina,right,183,74,no,0.440016,68.54,-0.038,2.06,1.47,-0.03738317757009346,3.171171171171171,ARG1,Testing,2024,0.4821570314282631,0.4835602675518849,0.4819639278557113
16,J. Broun,Rosario Central,Rosario Central,GK,GK,0,38,150000,2025-12-31,23,2280,Argentina,Argentina,right,190,90,no,0.24,74.0,-0.058,0.79,1.22,-0.06185567010309279,3.83495145631068,ARG1,Testing,2024,0.3772049159741901,0.3693264470492463,0.3717434869739479
17,H. Galíndez,Huracán,Huracán,GK,GK,0,37,350000,2026-12-31,23,2294,Argentina,"Argentina, Ecuador",right,189,93,no,0.27223,82.86,0.244,1.41,0.86,0.3380281690140845,5.851063829787234,ARG1,Testing,2024,0.596975884756552,0.5847115819860674,0.5901803607214428
18,I. Arce,Deportivo Riestra,Deportivo Riestra,GK,GK,0,32,400000,2024-12-31,24,2376,Argentina,Argentina,right,185,66,no,0.642192,77.06,0.187,2.35,3.07,0.15929203539823,4.347368421052631,ARG1,Testing,2024,0.8474679193444674,0.7836332401703677,0.8156312625250499
19,T. Marchiori,Vélez Sarsfield,Vélez Sarsfield,GK,GK,0,29,3000000,2027-12-31,25,2407,Argentina,Argentina,right,186,84,no,0.1125,82.35,0.314,0.79,2.06,0.3636363636363635,5.678571428571428,ARG1,Testing,2024,0.5932884012546773,0.5699923843270122,0.5811623246492985
20,F. Sanguinetti,Banfield,Banfield,GK,GK,0,23,350000,2026-12-31,25,2436,Argentina,Argentina,right,185,74,no,0.072,66.67,-0.177,1.0,1.22,-0.1666666666666665,2.992063492063492,ARG1,Testing,2024,0.2120644800808117,0.2233499054401245,0.2164328657314629
21,F. Petroli,Godoy Cruz,Godoy Cruz,GK,GK,0,26,3000000,2027-12-31,25,2456,Argentina,Argentina,left,187,85,no,0.403348,74.26,0.122,1.61,2.02,0.1203703703703705,3.894736842105264,ARG1,Testing,2024,0.6130346702357617,0.5893114073314589,0.6002004008016031
22,M. Roffo,Instituto,Instituto,GK,GK,0,24,3800000,2024-12-31,25,2467,Argentina,"Argentina, Croatia",right,184,81,no,0.58,70.65,0.001,1.9,1.39,0.0,3.393939393939394,ARG1,Testing,2024,0.5995309024745955,0.5556224959685574,0.5771543086172344
23,J. Cozzani,Platense,Platense,GK,GK,0,26,1800000,2024-12-31,25,2470,Argentina,Argentina,right,184,77,no,0.55,78.31,0.076,1.42,1.42,0.09589041095890405,4.575757575757575,ARG1,Testing,2024,0.7044745596375849,0.6533120280384862,0.6783567134268537
24,T. Cardozo,Unión Santa Fe,Unión Santa Fe,GK,GK,0,28,800000,2024-12-31,25,2471,Uruguay,Uruguay,right,182,83,yes,0.403348,73.12,0.015,1.53,1.27,0.021505376344086,3.725274725274725,ARG1,Testing,2024,0.5276942346408814,0.4953326166132991,0.5110220440881763
25,G. Herrera,Talleres Córdoba,Talleres Córdoba,GK,GK,0,32,2500000,2026-12-31,25,2473,Argentina,Argentina,left,187,79,no,0.473586,73.26,-0.107,2.0,1.67,-0.1506849315068493,3.726190476190476,ARG1,Testing,2024,0.5353734408695345,0.5404211515871484,0.5370741482965932
26,M. Mansilla,Estudiantes,Estudiantes,GK,GK,0,28,0,,26,2537,Argentina,Argentina,right,192,91,no,0.43,70.91,0.024,1.7,1.14,0.01724137931034486,3.421052631578948,ARG1,Testing,2024,0.513003060592648,0.4810517445079768,0.4959919839679358
27,D. Rodríguez,Argentinos Juniors,Argentinos Juniors,GK,GK,0,35,300000,2026-12-31,26,2558,Argentina,"Argentina, Spain",left,184,77,no,0.178575,70.11,-0.026,0.56,1.27,-0.02247191011235961,3.362637362637363,ARG1,Testing,2024,0.3138662450305568,0.2867846619337918,0.2985971943887775
28,T. Durso,Atlético Tucumán,Atlético Tucumán,GK,GK,0,25,1500000,2025-12-31,26,2559,Argentina,Argentina,right,185,80,yes,0.494649,73.53,-0.025,1.65,2.08,-0.03260869565217384,3.778947368421053,ARG1,Testing,2024,0.6031436243391947,0.5812230088730556,0.5911823647294588
29,L. Ingolotti,Central Córdoba SdE,Central Córdoba SdE,GK,GK,0,24,450000,2024-12-31,26,2563,Argentina,Argentina,right,185,85,no,0.283647,69.37,0.064,1.09,1.51,0.05555555555555558,3.277310924369748,ARG1,Testing,2024,0.4063324726520096,0.3742675229049487,0.3887775551102204
30,R. Rey,Independiente,Independiente,GK,GK,0,33,1800000,2026-12-31,26,2571,Argentina,"Argentina, Italy",right,190,78,no,0.46,79.01,0.149,1.61,1.26,0.1891891891891893,4.733333333333333,ARG1,Testing,2024,0.6762138714332635,0.6516789733622922,0.6633266533066132
31,Mariano Monllor,Ferro Carril Oeste,Ferro Carril Oeste,GK,GK,0,35,75000,2025-12-31,10,983,Argentina,Argentina,right,185,75,no,0.63875,76.92,0.081,1.65,1.46,0.098901098901099,4.353658536585366,ARG2,Testing,2024,0.7080890703852667,0.6781745353847286,0.692384769539078
32,R. Saracho,Deportivo Riestra,Ferro Carril Oeste,GK,GK,0,30,125000,2025-06-30,10,988,Argentina,Argentina,left,193,90,yes,0.64,60.0,-0.238,1.73,1.82,-0.2307692307692308,2.4921875,ARG2,Testing,2024,0.4378440840402425,0.4175232911757529,0.4268537074148296
33,L. Ojeda,,Gimnasia Mendoza,GK,GK,0,34,50000,,12,1190,Argentina,Argentina,right,183,79,no,0.3,71.74,0.196,1.13,2.5,0.1694915254237288,3.551020408163265,ARG2,Testing,2024,0.5148038989018253,0.4592772646490929,0.4859719438877755
34,J. Strumia,Estudiantes Río Cuarto,Estudiantes Río Cuarto,GK,GK,0,25,25000,2024-12-31,13,1287,Argentina,Argentina,right,190,84,yes,0.42,79.41,0.039,1.82,2.24,0.07547169811320764,4.857142857142857,ARG2,Testing,2024,0.676786385088004,0.6585154874045793,0.6673346693386774
35,J. Bigo,Gimnasia Jujuy,Gimnasia Jujuy,GK,GK,0,26,25000,2024-12-31,13,1290,Argentina,Argentina,left,183,85,yes,0.7000069999999999,71.43,-0.329,2.44,1.95,-0.8918918918918919,3.485714285714286,ARG2,Testing,2024,0.5979114111255438,0.5602436981789987,0.5781563126252504
36,G. Rehak,Brown de Adrogué,Brown de Adrogué,GK,GK,0,30,10000,2025-12-31,14,1306,Argentina,"Argentina, Italy",right,186,69,no,0.551118,74.29,-0.002,1.24,2.48,0.0,3.887096774193548,ARG2,Testing,2024,0.6538277547051953,0.5906461405588482,0.6212424849699398
